brand,model,engine_type,fuel,transmission,km,price,year,type
Škoda,SCALA,1.5 TSI,Petrol,Automatic,0.0,680700,2026.0,autojarov
Škoda,SCALA,1.5 TSI,Petrol,Manual,0.0,589300,2026.0,autojarov
Škoda,SCALA,1.5 TSI,Petrol,Manual,0.0,629700,2026.0,autojarov
Škoda,FABIA,1.0 TSI,Petrol,Manual,0.0,448600,2026.0,autojarov
Škoda,FABIA,1.0 TSI,Petrol,Manual,0.0,455200,2026.0,autojarov
CUPRA,Formentor,2.5 TSI,Petrol,Automatic,0.0,1761700,2026.0,autojarov
CUPRA,Formentor,2.5 TSI,Petrol,Automatic,0.0,1794200,2026.0,autojarov
Volkswagen,Passat,1.5 TSI,Petrol,Automatic,136394.0,499900,2021.0,autojarov
Škoda,OCTAVIA,2.0 TDI,Diesel,Manual,155297.0,379900,2021.0,autojarov
Volkswagen,Golf,1.6 TDI,Diesel,Automatic,70108.0,399900,2019.0,autojarov
Škoda,FABIA,1.0 TSI,Petrol,Manual,171562.0,259900,2022.0,autojarov
Škoda,FABIA,1.0 TSI,Petrol,Manual,149075.0,269900,2022.0,autojarov
SEAT,Tarraco,1.5 TSI,Petrol,Manual,111840.0,449900,2019.0,autojarov
Volkswagen,TAYRON,1.5 ETSI,Petrol,Automatic,26758.0,1199900,2025.0,autojarov
Škoda,OCTAVIA,1.5 TSI,Petrol,Manual,4800.0,675000,2025.0,autojarov
Audi,A6,,Diesel,Automatic,118863.0,849900,2021.0,autojarov
Škoda,OCTAVIA,1.5 TSI,Petrol,Manual,126165.0,379900,2019.0,autojarov
Škoda,SCALA,1.0 TSI,Petrol,Manual,16635.0,468000,2025.0,autojarov
Škoda,SCALA,1.0 TSI,Petrol,Automatic,18545.0,499900,2025.0,autojarov
Škoda,SUPERB,2.0 TDI,Diesel,Automatic,25160.0,1069900,2024.0,autojarov
Škoda,OCTAVIA,1.5 TSI,Petrol,Manual,18499.0,589000,2025.0,autojarov
Škoda,SUPERB,2.0 TDI,Diesel,Automatic,0.0,1449200,2026.0,autojarov
Škoda,SUPERB,2.0 TDI,Diesel,Automatic,0.0,1436000,2026.0,autojarov
Škoda,SUPERB,2.0 TDI,Diesel,Automatic,0.0,1399500,2026.0,autojarov
Škoda,OCTAVIA,2.0 TDI,Diesel,Automatic,162708.0,379900,2020.0,autojarov
Škoda,KODIAQ,2.0 TDI,Diesel,Automatic,149955.0,569900,2020.0,autojarov
Škoda,OCTAVIA,1.5 TSI,Petrol,Automatic,14448.0,678000,2025.0,autojarov
Škoda,OCTAVIA,2.0 TDI,Diesel,Manual,65627.0,498000,2023.0,autojarov
Škoda,ENYAQ,,Electric,Automatic,20857.0,589900,2023.0,autojarov
Škoda,SUPERB,2.0 TDI,Diesel,Automatic,0.0,1265200,2026.0,autojarov
