brand,model,engine_type,fuel,transmission,km,price,year,type
Škoda,KAMIQ MONTE CARLO 110 kW,1.5 TSI,benzín,Manual,27999.0,564000,2024.0,autojarov
Volkswagen Užitkové vozy,Akční Multivan Style,2.0 TSI,benzín,Automatic,0.0,1519900,2026.0,autojarov
Volkswagen,Tiguan Comfortline 7DSG 4MOT.,2.0 TSI,benzín,Automatic,130583.0,459900,2018.0,autojarov
Škoda,RAPID MONTE CARLO PLUS DSG,1.4 TSI,benzín,Automatic,111449.0,319900,2018.0,autojarov
Volkswagen,Tiguan People 110 kW,2.0 TDI,nafta,Automatic,35998.0,879900,2025.0,autojarov
Honda,HR-V e:HEV 1.5 i-MMD Elegance 2026,1.5 I,hybrid,Automatic,0.0,614900,2026.0,autojarov
Honda,HR-V e:HEV 1.5 i-MMD Elegance 2026,1.5 I,hybrid,Automatic,0.0,614900,2026.0,autojarov
Honda,HR-V e:HEV 1.5 i-MMD Elegance 2026,1.5 I,hybrid,Automatic,0.0,614900,2026.0,autojarov
Honda,HR-V e:HEV 1.5 i-MMD Elegance 2026,1.5 I,hybrid,Automatic,0.0,614900,2026.0,autojarov
CUPRA,Formentor 1.5 TSI 150k DSG,1.5 TSI,benzín,Automatic,34923.0,729900,2023.0,autojarov
Škoda,E-CITIGO AMBITION 61kW,,elektro,Automatic,52457.0,318000,2020.0,autojarov
CUPRA,Ateca 1.5 TSI 150k DSG,1.5 TSI,benzín,Automatic,32535.0,699900,2025.0,autojarov
Honda,HR-V e:HEV 1.5 i-MMD Elegance 2026,1.5 I,hybrid,Automatic,0.0,614900,2026.0,autojarov
Škoda,OCTAVIA STYLE 110 kW,1.5 TSI,benzín,Manual,46893.0,569900,2023.0,autojarov
Škoda,OCTAVIA COMBI STYLE 110 kW DSG,2.0 TDI,nafta,Automatic,154016.0,469000,2022.0,autojarov
Honda,HR-V e:HEV 1.5 i-MMD Elegance 2026,1.5 I,hybrid,Automatic,0.0,614900,2026.0,autojarov
Honda,HR-V e:HEV 1.5 i-MMD Elegance 2026,1.5 I,hybrid,Automatic,0.0,614900,2026.0,autojarov
CUPRA,Formentor 1.5 TSI 150k DSG,1.5 TSI,benzín,Automatic,47343.0,609000,2023.0,autojarov
Škoda,SCALA TOP SELECTION 85 kW,1.0 TSI,benzín,Manual,19527.0,449900,2025.0,autojarov
Škoda,KAROQ TOP SELECTION 110 kW DSG,1.5 TSI,benzín,Automatic,34686.0,729000,2025.0,autojarov
Škoda,KAROQ TOP SELECTION 110 kW DSG,1.5 TSI,benzín,Automatic,34476.0,739900,2025.0,autojarov
Škoda,KAMIQ AMBITION 81 kW,1.0 TSI,benzín,Manual,88495.0,379900,2021.0,autojarov
Škoda,OCTAVIA COMBI TOP SELECTION 110,1.5 TSI,benzín,Manual,36646.0,679900,2025.0,autojarov
Škoda,SUPERB SELECTION 110 kW DSG,2.0 TDI,nafta,Automatic,26403.0,869900,2025.0,autojarov
Škoda,OCTAVIA COMBI AMBITION 110 kW,1.5 TSI,benzín,Manual,65927.0,459000,2020.0,autojarov
